관서명,구분,주소,latitude,longitude
환여,파출소,경상북도 포항시 북구  삼호로 370,36.067022,129.3892299
신광,파출소,경상북도 포항시 북구 신광면 토성길 15,36.1282916,129.2605118
송라,파출소,경상북도 포항시 북구 송라면 보경로 38,36.2285424,129.3585607
죽장,파출소,경상북도 포항시 북구  새마을로 3606,36.0898512,129.1772596
기계,파출소,경상북도 포항시 북구 기계면 기계로 92-11,36.0710176,129.2065087
기북,파출소,경상북도 포항시 북구 기북면 기북로 433,36.1277639,129.1657793
흥해,파출소,경상북도 포항시 북구 흥해읍 중성로 83,36.1088744,129.3485638
청하,파출소,경상북도 포항시 북구 청하면 청하로 178,36.195181,129.3392606
양학,파출소,경상북도 포항시 북구  양학로7,36.0246182,129.35135
죽도,파출소,경상북도 포항시 북구  중흥로 280,36.0276628,129.3623915
덕산,파출소,경상북도 포항시 북구 중앙로 352,36.0440875,129.3655235
용당,파출소,경상북도 포항시 북구  용당로91번길 10,36.0364412,129.3608577
장성,파출소,경상북도 포항시 북구  법원로39번길 36,36.0785216,129.3816514
학산,파출소,경상북도 포항시 북구  삼호로 147,36.0529191,129.3737484
양덕,파출소,경상북도 포항시 북구 장량중앙로 65,36.0901276,129.3891564
효곡대이,지구대,경상북도 포항시 남구 대잠길 15,36.0109937,129.3381201
상대,지구대,경상북도 포항시 남구 상공로 84,36.0154396,129.3592058
구룡포,파출소,경상북도 포항시 남구 호미로 182번길,35.9879204,129.5522432
장기,파출소,경상북도 포항시 남구 장기면 읍내길 94,35.8955872,129.493385
동해,파출소,경상북도 포항시 남구 동해면 일월로 52번길,35.9886258,129.438766
제철,파출소,경상북도 포항시 남구 동해안로 6041,35.995626,129.4036479
호미곶,파출소,경상북도 포항시 남구 호미곶면 해맞이로160,36.077124,129.5634101
송도,파출소,경상북도 포항시 남구 축항로 115,36.0306039,129.380884
대송,파출소,경상북도 포항시 남구 대송면 제내길 13,35.9851451,129.3636526
연일,파출소,경상북도 포항시 남구 연일읍 철강로25번길 62,35.9972127,129.3462859
오천,파출소,경상북도 포항시 남구 오천읍 정몽주로 547,35.9669966,129.4156103
문덕,파출소,경상북도 포항시 남구 오천읍 냉천로 318,35.9664773,129.4089309
해도,파출소,경상북도 포항시 남구 상공로 228,36.0225924,129.3708027
